key word,description
tg,"Năm tuyển sinh 2024-2025 có hai kỳ tuyển sinh bao gồm: Kỳ mùa Thu và Kỳ mùa Xuân. Ở Kỳ Tuyển sinh mùa Thu, trong trường hợp chưa trúng tuyển khi nhà trường gửi kết quả, các ứng viên vẫn có cơ hội nộp hồ sơ ứng tuyển lại vào Kỳ mùa Xuân. Điều này giúp ứng viên có thêm thời gian để hoàn thiện bộ hồ sơ và giúp Ban Tuyển sinh hiểu hơn về mình."
process,"Mỗi kỳ tuyển sinh sẽ gồm vòng đơn và vòng phỏng vấn. Vòng phỏng vấn sẽ diễn ra sau khi ứng viên nộp hồ sơ tuyển sinh. Ứng viên cần vượt qua vòng hồ sơ để được mời tham gia vòng phỏng vấn."
different of fall and spring,"Số lượng sinh viên mà chúng tôi dự kiến sẽ nhận trong Kỳ tuyển sinh mùa Thu sẽ cao hơn so với Kỳ tuyển sinh mùa Xuân. Khi nộp đơn ở Kỳ tuyển sinh mùa Thu, các bạn sẽ có lợi thế nhận kết quả sớm nếu trúng tuyển. Một số suất học bổng có giá trị cao đến từ nhà tài trợ (như Nguyễn-Phương Family, Nguyễn Tùng Lâm) nếu đã được trao trong kỳ mùa Thu sẽ không thể nộp trong kỳ mùa Xuân. Các ứng viên nộp hồ sơ vào Kỳ tuyển sinh mùa Thu nhưng không được trúng tuyển có thể có cơ hội nộp lại vào Kỳ mùa Xuân."
bridge program,"Chương trình Cầu nối được thiết kế để hỗ trợ và chuẩn bị cho các sinh viên về kỹ năng ngôn ngữ và giới thiệu môi trường học thuật trước thời điểm nhập học chính thức. Fulbright sẽ giới thiệu một số tân sinh viên tham gia chương trình tăng cường tiếng Anh (miễn phí) trước khi chính thức nhập học nếu nhà trường tin rằng các bạn sẽ được cải thiện các kỹ năng đáng kể sau chương trình này."
criteria,"Nếu bạn đang học lớp 12, dù bạn chưa hoàn thành chương trình trung học và thi tốt nghiệp THPT, bạn vẫn đủ điều kiện để dự tuyển. Ở hồ sơ tuyển sinh, bạn sẽ cung cấp bảng điểm của năm lớp 10 và lớp 11 (hoặc các bạn điểm tương đương ở các chương trình học khác nhau). Nếu bạn trúng tuyển ở Fulbright, bạn cần phải nộp học bạ THPT và chứng nhận tốt nghiệp thì mới có thể nhập học theo đúng quy định của Bộ GD&ĐT. Ngoài ra, Fulbright cũng yêu cầu các ứng cử viên phải đáp ứng điều kiện tiếng Anh tối thiểu. Bạn có thể tham khảo về điều kiện tiếng Anh ở đây (Phần: Điều kiện dự tuyển): hhttps://fulbright.edu.vn/vi/apply-to-us/"
english,"Trong bộ hồ sơ, ứng viên cần nộp chứng chỉ tiếng Anh với mức điểm tối thiểu là IELTS 6.0 (hoặc TOEFL iBT 70, hoặc Duolingo English Test 95), hoặc tương đương. Trong trường hợp chưa thể cung cấp được chứng chỉ tiếng Anh, ứng viên có thể nộp bổ sung chậm nhất 3 tuần kể từ hạn đóng hồ sơ tuyển sinh. (Có một vài trường hợp ngoại lệ được xem xét miễn các bài thi chuẩn hóa này, vui lòng xem chi tiết tại: hhttps://fulbright.edu.vn/vi/apply-to-us/ - phần ""Điều kiện dự tuyển""). Ngoài ra, Fulbright không yêu cầu bạn phải nộp điểm của các bài thi chuẩn hóa như SAT, ACT, IGCSE, IB,… Tuy nhiên, bộ hồ sơ của chúng tôi có không gian cho bạn liệt kê những điểm thi này kèm theo minh chứng kết quả bài thi."
award,"Trường hợp giải cấp Tỉnh: Fulbright chấp nhận bằng khen (có đầy đủ thông tin họ tên, giải thưởng và môn dự thi của thí sinh) của các cuộc thi nêu trên do Sở Giáo dục & Đào tạo (GD&ĐT) của tỉnh/thành phố mà bạn sinh sống cấp, HOẶC danh sách thí sinh đạt giải HOẶC quyết định trao giải được đăng tải chính thức trên website của Sở GD&ĐT thể hiện rõ họ tên, giải thưởng và môn dự thi của bạn."
qg,"Nếu bạn đã từng dự thi Kỳ thi Học sinh giỏi cấp Quốc gia môn tiếng Anh thì bạn có thể nộp hình ảnh/bản scan của Phiếu Báo danh khi bạn dự thi (trên đó thể hiện rõ họ tên và môn thi của bạn), hoặc Quyết định Thành lập Đội tuyển do Sở GD&ĐT của tỉnh thành nơi bạn học ban hành (có thể hiện rõ họ tên và môn thi của bạn). Tham khảo Quyết định từ Sở GD&ĐT tỉnh Vĩnh Long tại đây: (bỏ h)hhttps://www.google.com/url?q=hhttps://c3vinhxuan.vinhlong.edu.vn/thong-bao/thong-bao-tu-so/cv-1771-quyet-dinh-thanh-lap-doi-tuyen-thi-hoc-sinh-gioi-thp.html&sa=D&source=editors&ust=1726902257498326&usg=AOvVaw1S3I16gWcre7tmNxR_2X_N."
no award,"Fulbright tuyển sinh theo triết lý tuyển sinh toàn diện. Một ứng viên khi có giải thưởng học thuật sẽ giúp trường thấy được tính ham học hỏi  một trong những tiêu chí xét tuyển của Fulbright. Tuy nhiên, đó không phải là cách duy nhất để bạn chứng minh bạn có những phẩm chất mà Fulbright đang tìm kiếm. Bạn vẫn có thể nộp những bài nghiên cứu của bạn, những suy nghĩ của bạn về các chủ đề học thuật, hoặc làm nổi bật những thế mạnh khác của bạn."
no activities,"Tương tự như câu trả lời bên trên, một ứng viên có thể làm nổi bật những thế mạnh khác nhau của bạn để phù hợp với tiêu chí xét tuyển của Fulbright. Đối với tiêu chí “có tinh thần trách nhiệm và quan tâm đến người khác”, bạn có thể thể hiện không chỉ thông qua các hoạt động xã hội, mà còn có những hoạt động trong gia đình, đối với những người thân yêu. Fulbright không yêu cầu giấy chứng nhận cho mọi hoạt động của bạn."
time apply,"Fulbright tổ chức các kỳ tuyển sinh cho Khóa 2025-2029 xuyên suốt năm học 2025. Các mốc thời gian quan trọng cho các kỳ Tuyển sinh:
    Kỳ Tuyển sinh mùa Thu
- Mở hồ sơ: 09/09/2024
- Đóng Hồ sơ Tuyển sinh cuốn chiếu: 11/11/2024
- Đóng Hồ sơ Tuyển sinh: 25/11/2024
- Đóng Hồ sơ Học bổng: 02/12/2024
- Đợt thông báo kết quả với hồ sơ sớm: Tháng 1/2025
- Đợt thông báo kết quả với hồ sơ thường: Tháng 3/2025
    Kỳ Tuyển sinh mùa Xuân
- Mở hồ sơ: 09/12/2024
- Đóng Hồ sơ Tuyển sinh: 31/03/2025
- Đóng Hồ sơ Học bổng: 08/04/2025
- Đợt thông báo kết quả với hồ sơ sớm: Tháng 5/2025
- Đợt thông báo kết quả với hồ sơ thường: Tháng 7/2025"
characteristic,"Thái độ học hỏi: Khao khát tri thức; luôn sẵn lòng lắng nghe các ý tưởng mới và những quan điểm đa dạng; biết tiếp thu các lập luận logic và thuyết phục.
Tinh thần thích thử thách và sáng tạo: Nhiệt tình tìm kiếm những thử thách mới, đổi mới trong cách giải quyết vấn đề, và không ngần ngại học hỏi từ những sai lầm của bản thân.
Sự quan tâm đến người khác: Tôn trọng sự khác biệt của mọi người, sống một cách trung thực và có trách nhiệm, thể hiện sự trưởng thành trong các mối quan hệ."
