key word,description
Các loại học bổng,"Các sinh viên nộp đơn vào Đại học Fulbright Việt Nam có cơ hội nộp đơn vào các học bổng: Chương trình Fulbright University Scholarship, Học bổng Nguyễn-Phương Family, Học bổng Nhà giáo Nguyễn Tùng Lâm, Học bổng Hùng Võ (HV Foundation Impact)"

Học bổng Fulbright University Scholarship,"""Chương trình Học bổng Đại học Fulbright mang tới cơ hội tiếp cận nền giáo dục ưu tú của Mỹ ngay tại Việt Nam, giúp thế hệ trẻ phát triển tri thức, kỹ năng và tư duy sáng tạo để tạo ra những đóng góp tích cực cho cộng đồng. Hàng năm, chương trình trao hơn 100 học bổng với tổng giá trị lên đến 120 tỉ đồng với các mức giá trị dựa trên kết quả học tập và các hoạt động ngoại khóa. Học bổng tài trợ học phí trong mỗi năm học trong suốt 04 năm.

Các mức học bổng:
Học bổng President: 100%
Học bổng Provost: 80%
Học bổng Dean: 60%
Học bổng Breakthough: 50%
Học bổng Pioneering: 40%
Học bổng Foundation: 20%"""

Học bổng Nguyễn-Phương Family,"Dành cho sinh viên trúng tuyển sở hữu phẩm chất kiến tạo và tiềm năng tạo ra thay đổi tích cực, có sự thấu cảm và mong muốn đóng góp vì một thế giới tốt đẹp hơn. Hỗ trợ 100% học phí trong vòng 4 năm. (1 suất)"

Học bổng Nguyễn Tùng Lâm,"Dành cho sinh viên trúng tuyển có nguyện vọng theo học ngành Tâm lý học và đến từ hoàn cảnh kinh tế khó khăn. Hỗ trợ 50% học phí trong vòng 4 năm. (1 suất)"

Học bổng HV Foundation Impact,"Dành cho sinh viên có đam mê với di sản và văn hóa Việt Nam, có thành tích học tập xuất sắc, và có tinh thần xây dựng và phát triển cộng đồng. Hỗ trợ 25% học phí trong vòng 4 năm. (1 suất)"

Cách thức apply học bổng,"""Trước tiên, để làm hồ sơ nộp học bổng, ứng viên cần tạo tài khoản trên hệ thống chính thức của nhà trường tại: https://apply.fulbright.edu.vn/. Sau đó, hoàn thành phần Eligibility và vào tab Merit-based Scholarships để điền đơn cho các học bổng bạn quan tâm.
Các học bổng nhìn chung sẽ có quy trình ứng tuyển tương đối giống nhau bao gồm hoàn thiện hồ sơ và tham gia thêm vòng phỏng vấn (nếu có):
Học bổng thuộc chương trình Fulbright University Scholarship được đánh giá thông qua các vòng hồ sơ tuyển sinh, hồ sơ học bổng và phỏng vấn;
Học bổng Nguyễn-Phương Family (1 suất), Học bổng Nhà giáo Nguyễn Tùng Lâm (1 suất) và Học bổng HV Foundation Impact (1 suất) bên cạnh việc nộp hồ sơ, các ứng viên sau khi được chọn sẽ cần tham gia thêm các vòng phỏng vấn với nhà tài trợ."""

Hỗ trợ tài chính,"Đối với các ứng viên có hoàn cảnh đặc biệt khó khăn, các bạn có thể nộp đơn vào chương trình Hỗ trợ Tài chính. Mỗi năm, Trường Fulbright cung cấp tối đa 10 suất học bổng toàn phần với 100% học phí trong suốt 04 năm học của chương trình cử nhân. Gia đình ứng viên có thể được mời phỏng vấn để xác minh hoàn cảnh gia đình."

Phân biệt 2 loại học bổng,"""Trong những niên khóa trước, ứng viên được quyền nộp đơn cho một hoặc nhiều học bổng (bao gồm Học bổng Tài năng và Học bổng Đồng hành). Đây là các bộ hồ sơ riêng biệt.

ASA khi tư vấn cần lưu ý làm rõ 02 khái niệm này để TRÁNH 1 số trường hợp như Phụ huynh và/hoặc Ứng viên sẽ có thể nghĩ Học bổng Đồng hành (Tên cũ: Hỗ trợ Tài chính) là 01 khoản vay và không phải ai cũng có thể được nộp:

Học bổng Đồng hành được xét duyệt căn cứ vào hoàn cảnh kinh tế của gia đình.
Học bổng Tài năng được xét duyệt căn cứ vào tiêu chí nhà trường và nhà tài trợ tìm kiếm, dựa vào các phẩm chất của ứng viên thể hiện qua bộ hồ sơ tuyển sinh, hồ sơ học bổng và vòng phỏng vấn."""
