key word,description
cs,"Ngành học này tập trung vào tư duy giải quyết vấn đề, phát triển phần mềm, trí tuệ nhân tạo và khoa học dữ liệu. Sinh viên có cơ hội thực hành thông qua các dự án lập trình, thực tập và học liên ngành. Link: https://fulbright.edu.vn/vi/major/khoa-hoc-may-tinh/"
math,"Ngành này nhấn mạnh vào mô hình toán học, thống kê và các phương pháp tính toán được ứng dụng trong tài chính, kỹ thuật và khoa học dữ liệu. Sinh viên rèn luyện kỹ năng phân tích và tư duy định lượng mạnh mẽ. Link: https://fulbright.edu.vn/vi/major/toan-hoc-ung-dung/"
si,"Cách tiếp cận liên ngành trong khoa học, bao gồm sinh học, hóa học và vật lý. Sinh viên tham gia nghiên cứu và ứng dụng thực tế trong khoa học môi trường, y tế và công nghệ. Link: https://fulbright.edu.vn/vi/major/khoa-hoc-tich-hop/"
arts and media,"Ngành học kết hợp nghệ thuật thị giác, điện ảnh, truyền thông số và nghiên cứu văn hóa. Sinh viên phát triển tư duy sáng tạo và phản biện để phân tích và sản xuất các sản phẩm truyền thông đa dạng. Link: https://fulbright.edu.vn/vi/major/nghien-cuu-nghe-thuat-va-truyen-thong/"
econ,"Chương trình cung cấp nền tảng vững chắc về kinh tế vi mô, kinh tế vĩ mô và kinh tế lượng. Sinh viên học cách phân tích thị trường, chính sách kinh tế và phát triển kinh tế. Link: https://fulbright.edu.vn/vi/major/kinh-te-hoc/"
history,"Ngành học tập trung vào phân tích lịch sử, sử học và các góc nhìn văn hóa. Sinh viên khám phá lịch sử thế giới và Việt Nam để hiểu rõ hơn về các vấn đề đương đại. Link: https://fulbright.edu.vn/vi/major/lich-su/"
engineer,"Chương trình kỹ thuật độc đáo nhấn mạnh vào việc giải quyết các vấn đề của con người và xã hội. Sinh viên được đào tạo về tư duy thiết kế, đổi mới sáng tạo và đạo đức trong kỹ thuật. Link: https://fulbright.edu.vn/vi/major/ky-thuat-vi-nhan-sinh/"
soci,"Ngành học bao gồm nhân học, xã hội học và khoa học chính trị. Sinh viên phân tích các cấu trúc xã hội, hành vi con người và động lực văn hóa tại Việt Nam và trên thế giới. Link: https://fulbright.edu.vn/vi/major/nghien-cuu-xa-hoi/"
psycho,"Chương trình nghiên cứu về tâm lý nhận thức, hành vi và xã hội. Sinh viên tìm hiểu về sức khỏe tâm thần, sự phát triển con người và khoa học thần kinh để hiểu rõ hơn về hành vi con người. Link: https://fulbright.edu.vn/vi/major/tam-ly-hoc/"
vn,"Ngành học chuyên sâu về lịch sử, văn hóa và xã hội Việt Nam. Chương trình kết hợp nghiên cứu và trải nghiệm thực tế để hiểu rõ quá trình chuyển đổi của Việt Nam trong bối cảnh toàn cầu. Link: https://fulbright.edu.vn/vi/major/nghien-cuu-viet-nam/"
lit,"Chương trình tập trung vào lý thuyết văn học, phân tích tác phẩm và sáng tác. Sinh viên nghiên cứu văn học Việt Nam và thế giới để phát triển kỹ năng giao tiếp và tư duy phản biện. Link: https://fulbright.edu.vn/vi/major/van-hoc/"
