key word,description
number of majors at Fulbright,"Đại học Fulbright có 11 ngành học thuộc lĩnh vực Nhân văn, Khoa học Xã Hội, Khoa học và Kỹ thuật, Toán và Máy tính như sau: 
Nghiên cứu Nghệ thuật và Truyền thông, Kinh tế, Văn học, Lịch sử, Tâm lý học, Khoa học Xã hội, Việt Nam học, Khoa học Máy tính, Toán học, Khoa học Tích hợp, Kỹ thuật Vị nhân sinh. Ngoài ra trường có 15 ngành phụ (bao gồm 11 ngành kể trên và 4 ngành phụ khác). "
courses ,"Mỗi học sinh viên Fulbright có thể học từ 3 đến 5 môn. Trung bình, sinh viên sẽ học 4 môn học mỗi kỳ."
studying two majors,"Chương trình cử nhân tại Fulbright được thiết kế để các bạn có thể hoàn thành bằng cử nhân của mình trong 128 tín chỉ. Trong đó, ngoài các tín chỉ của các chương trình Nền tảng và các môn Khám phá, cũng như các tín chỉ để được tính vào ngành học chính của mình, phần tín chỉ còn lại được tính thành các môn tự chọn. Khi học 02 ngành cùng một lúc, sinh viên sẽ thay thế các môn tự chọn này bằng các môn phục vụ cho ngành học thứ hai. Tất nhiên, trong trường hợp như vậy, bạn sẽ phải các môn chuyên sâu nhiều hơn; song về cơ bản, bạn sẽ không tốn thêm bất kỳ thời gian nào thêm để hoàn thành 02 ngành cùng lúc."
maximum credits ,Sinh viên Fulbright được phép học tối thiểu 128 tín chỉ và tối đa 144 tín chỉ
core courses ,"Môn Nền tảng: Trong Chương trình Đào tạo Nền tảng, sinh viên sẽ có những bước đầu tiếp xúc với kiến thức  mang tính liên ngành đồng thời nâng cao các kỹ năng học thuật thiết yếu.  

Môn Lịch sử Triết học cũng như môn Văn hóa và Xã hội Việt Nam Hiện đại tập trung phát triển kỹ năng viết học thuật, đọc phản biện, lắng nghe chủ động và thảo luận hợp tác; 

QUEST: Tư duy thực nghiệm và định lượng 

Môn Lý luận Định lượng: giới thiệu kỹ năng đọc hiểu số liệu thống kê, phân tích dữ liệu và kỹ năng lập trình cơ bản;  

Môn Khám phá Khoa học: giúp sinh viên có hiểu biết sâu sắc hơn về phương pháp khoa học và thiết kế thử nghiệm;  

Môn Nhập môn Thống kê: cung cấp cho sinh viên những khái niệm và phương pháp thống kê cơ bản và kỹ năng lập trình 

Môn Lập trình trong phân tích và hiển thị dữ liệu: giúp sinh viên có được kỹ năng phân tích dữ liệu, tư duy tiếp cận với các thông tin liên quan đến cách dữ liệu được tạo ra, phân tích và sử dụng như thế nào 

Môn Tư duy Thiết kế và Hệ thống, do các giảng viên ngành Kỹ thuật đứng lớp, cung cấp kiến thức về chu trình thiết kế sản phẩm để nâng cao kỹ năng giải quyết vấn đề thực tế và quản lý dự án. 

Những môn học này được thiết kế để mọi sinh viên đều có thể tham gia, nâng cao nhận thức của các bạn về nhiều cách tư duy và khám phá khác nhau mà trước đó các bạn chưa từng biết đến. Đội ngũ giảng viên, sinh viên hỗ trợ đồng cấp và các chuyên viên Hỗ trợ Học thuật sẽ giúp bạn củng cố kiến thức thông qua các buổi trao đổi ngoài tiết học, các buổi phụ đạo và các buổi hội thảo chuyên môn của từng môn học. 

Môn Khám phá: Gồm 06 môn ở các cấp độ 100-200, thuộc các lĩnh vực khác nhau. "
dst,"Học phần Tư duy Thiết kế và Hệ thống giới thiệu các nguyên lý, quy trình và công cụ của tư duy thiết kế và tư duy hệ thống được dùng để tìm kiếm và xác định các giải pháp trong xã hội. Các kiến thức cần có để hiểu các hệ thống và tiếp cận quy trình thiết kế bao gồm: Cách sử dụng các quan sát về dân tộc học để định hình và nhận định các thách thức thực tế từ góc nhìn của người tiêu dùng; Giới thiệu về tư duy hệ thống để hiểu được các thách thức tồn tại trong ngữ cảnh lớn hơn; Tư duy thiết kế giúp hình thành cách tiếp cận có hệ thống trong phát triển các khái niệm và giải pháp; xây dựng vật mẫu cho các thiết kế và sản phẩm thực thụ; các khái niệm kỹ thuật căn bản cho phép hiện thực hóa các ý tưởng thành sản phẩm.
Học phần này áp dụng phương pháp học tập theo dự án. Theo đó, các sinh viên sẽ chia thành các nhóm để xác định các vấn đề, nhận diện khách hàng, người tiêu dùng hoặc nhu cầu xã hội và thiết kế hệ thống đáp ứng các nhu cầu đó. Quá trình này bao gồm xác định các đặc điểm và tính năng sản phẩm, sau đó phân tách thành các cấu phần, tích hợp vào một môi trường, tiếp tục xây dựng và thử nghiệm, đánh giá kết quả.
Ví dụ, các nhóm có thể xây dựng các cấu phần trong một căn nhà thông minh như hệ thống chiếu sáng và tưới nước tự động, hoặc hệ thống Internet Vạn Vật (IoT) để giám sát và cảnh bảo sớm tình trạng hạn hán, hoặc hệ thống khử trùng tay tự động. Sinh viên sẽ vận dụng các mô-đun kiến thức, vật liệu, công cụ và cơ sở vật chất có sẵn trên thị trường hoặc tại Trung tâm Maker Space (Không gian sáng tạo) của Fulbright để xây dựng mẫu thử nghiệm. Trong quá trình học tập và thực hành, sinh viên sẽ nắm vững các phương pháp agile căn bản dùng để quản lý dự án, nắm được các kỹ năng chế tạo hiện đại và thực hành tư duy phản biện, bao gồm nắm bắt các yếu tố ràng buộc, cân nhắc để lựa chọn phương án hợp lý và kiểm nghiệm các tác động về môi trường và xã hội."
gh,"Trong khóa học này, ba bài học chính sẽ được khám phá:

Tri thức luận Cổ điển: Tập trung vào định nghĩa và cách con người tích lũy tri thức.
Quyền lực và Sự hình thành của Thế giới Hiện đại: Nói về quá trình tái định hình các ranh giới xã hội và chính trị trong thời kỳ lập quốc và thuộc địa.
Kiến tạo tương lai: Khám phá quan điểm của các học giả về thế giới hiện tại và cách cải thiện nó trong tương lai."
mvcs,"Chương trình học tập này nhằm hình thành quan điểm đa chiều về Việt Nam qua các lĩnh vực lịch sử, văn học, triết học và khoa học chính trị. Mục tiêu chính bao gồm:

Hiểu biết văn hóa và xã hội Việt Nam: Sinh viên sẽ tiếp cận với văn hóa và xã hội Việt Nam một cách cởi mở nhưng có suy xét.

Nhận diện vấn đề: Sinh viên sẽ tham gia vào các cuộc thảo luận để xác định và phân tích các vấn đề mấu chốt, xây dựng luận điểm dựa trên bằng chứng xác thực.

Triển khai dự án nghiên cứu: Sinh viên sẽ thực hiện các dự án nghiên cứu cá nhân hoặc nhóm và trình bày kết quả một cách sáng tạo qua bài luận, thuyết trình, phim hoặc thiết kế trang web.

Tôn trọng sự đa dạng: Chương trình nhấn mạnh sự tôn trọng đối với sự đa dạng của các cộng đồng và văn hóa ở Việt Nam.

Củng cố ý thức công dân: Sinh viên sẽ phát triển ý thức công dân tích cực, tham gia vào các vấn đề liên quan đến Việt Nam trong bối cảnh khu vực và toàn cầu, bao gồm văn hóa, xã hội, kinh tế và chính trị.

Khuyến khích tư duy phản biện: Chương trình khuyến khích sinh viên khám phá các khái niệm cơ bản trong khoa học xã hội và nhân văn, giúp nâng cao nhận thức về chính trị và bản sắc văn hóa, từ đó khuyến khích sự tham gia vào cộng đồng địa phương và toàn cầu."
qr,"Học phần “Lý luận Định lượng cho Thời đại Số” trang bị cho sinh viên kiến thức về các phương pháp định lượng, thống kê và lý luận thuật toán, nguyên lý lập trình máy tính. Sinh viên sẽ làm việc theo nhóm để khám phá cách các mô hình toán học miêu tả hành vi con người, tiến hành kiểm thử các mô hình này bằng cách thiết kế câu hỏi nghiên cứu, thu thập dữ liệu và học cách đánh giá dữ liệu, nhận biết sự tương đồng trong bối cảnh xã hội rộng lớn hơn.
Thông qua việc vận dụng các kỹ năng này, sinh viên sẽ hình thành thói quen tư duy và áp dụng cách tư duy này vào các ngành khác; dùng số liệu để xây dựng và phân tích suy luận các luận điểm dựa trên bằng chứng; hiểu rõ ưu/nhược điểm của việc sử dụng lý luận định lượng trong thời hiện đại."
si,"“Khám phá Khoa học” đưa sinh viên vào thế giới khoa học bằng cách áp dụng các phương pháp nghiên cứu khoa học vào các ví dụ thực tiễn. Sinh viên sẽ được học các lý thuyết và bài thực hành nền tảng về sinh học, hóa học và vật lý. Từ đó, các bạn sẽ hiểu được các quá trình cần có khi nghiên cứu một kiến thức khoa học mới, đồng thời có thể áp dụng các quá trình này để tìm câu trả lời cho các câu hỏi khoa học đương đại.
Trong suốt học phần, sinh viên sẽ nghiên cứu những đề tài quan trọng liên quan đến một số lĩnh vực khoa học nhất định, học cách phân biệt kiến thức khoa học và phi khoa học, thiết kế câu hỏi nghiên cứu và giả thuyết nghiên cứu, kiểm tra giả thuyết qua các thí nghiệm nhóm và trình bày kết quả bằng báo cáo nhóm và thuyết trình."
