key word,description
dàm bích thủy,"Bà Đàm Bích Thuỷ là ai? Phát biểu của bà được đăng tải trên mạng XH có nghĩa là gì và tại sao lại nói như vậy?
Bà Đàm Bích Thuỷ là chủ tịch đầu tiên của Trường. Chủ tịch hiện tại là thầy Scott Fritzen. Tôi hiểu là FUV vừa bị ""lên sóng"" trên mạng XH và các video của các vị lãnh đạo cũ bị cắt ghép và xuyên tạc nhằm mục đích câu view, câu like, tạo trend. Tôi khuyến nghị anh/chị nên theo dõi các trang báo chính thống của Việt Nam để nhận được thông tin chính thống. (Dẫn chứng thêm các bài báo đã đăng trên các trang Thông Tin Chính Phủ, Báo Nhân Dân, VnExpress, trang web của Trường...)"
bob kerry ,"Ông Bob Kerry là ai?
Bob Kerry đã từng là thành viên của Hội Đồng Tín Thác của FUV và hiện nay không còn nằm trong hội đồng này nữa."
bob kerry soldier,"Bob Kerry có phải là lính thảm sát ở Việt Nam không? Nếu đây là thông tin trên các trang mạng XH không phải là báo chí chính thống, không phải phát ngôn của Fulbright thì tôi xin phép không bình phẩm. Tôi khuyến nghị anh/chị nên theo dõi các trang báo chính thống của Việt Nam để nhận được thông tin chính thống. (Dẫn chứng thêm các bài báo đã đăng trên các trang Thông Tin Chính Phủ, Báo Nhân Dân, VnExpress, trang web của Trường...)"
cmm,"Fulbright có đào tạo CMM không? CMM là cụm từ được lan truyền trên mạng XH mà FUV không hề có bất cứ hiểu biết hay liên quan nào đến việc này. Tôi hiểu là FUV vừa bị ""lên sóng"" trên mạng XH và CMM cũng là một đề tài dùng để xây dựng ""content"" nhằm mục đích câu view, câu like, tạo trend. Tôi khuyến nghị anh/chị nên theo dõi các trang báo chính thống của Việt Nam để nhận được thông tin chính thống. (Dẫn chứng thêm các bài báo đã đăng trên các trang Thông Tin Chính Phủ, Báo Nhân Dân, VnExpress, trang web của Trường...)"
fearless ,"Cờ Fearless trong buổi diễu hành của Fulbright có ý nghĩa gì? Đây là buổi diễu hành nhỏ của sinh viên mới tốt nghiệp trong khuôn viên xung quanh trường ở Q7. Fearless lấy ý tưởng từ tựa đề một bài hát của ca sĩ Taylor Swift, một ca sĩ rất được giới trẻ yêu thích. Dù bài hát này nói về tình yêu, nhưng với ý nghĩa trong Fulbright thì Fearless biểu dương tinh thần dũng cảm, tự tin đương đầu với những thử thách mới trong cuộc sống, sau khi rời khỏi giảng đường đại học. Những thử thách luôn có thể là những điều không ngờ trước như đại dịch Covid19 vừa qua, hay những vấn đề trở ngại trong công việc, gia đình, xã hội. Khi vượt qua được những thử thách bằng sự tự tin, lòng dũng cảm và tri thức, các em sẽ tích luỹ được nhiều thành tựu, đóng góp cho gia đình, xã hội, góp phần xây dựng đất nước ngày càng phát triển."
board ,"Hội đồng tín thác là gì? Hội Đồng Tín Thác (Board of Trustees) là một hội đồng bao gồm các thành viên là chuyên gia đầu ngành từ nhiều lĩnh vực đa dạng, được bầu từ những người có uy tín trong xã hội, hoạt động tự nguyện và sẽ phải quản trị sao cho trường hoạt động vì lợi ích của xã hội."
safety,"Đi học ở Fulbright có an toàn không? Cũng như nhiều làn sóng tạo trend khác xảy ra trên mạng XH, trend này sẽ nhanh chóng tan đi, và thông thường sẽ không có gì đáng lo ngại. Sinh viên theo học tại FUV nằm trong khuôn viên của FUV luôn được đảm bảo bởi tiêu chuẩn vận hành và quản lý nghiêm ngặt đảm bảo an toàn chung."
program in fulbright,Chương trình học của FUV do ai viết ra? Chương trình giáo dục tại FUV được viết bởi Hội Đồng Học Thuật của Fulbright dựa trên tiêu chuẩn quốc tế của triết lý giáo dục khai phóng.
standards registration,"FUV có đăng ký tiêu chuẩn giáo dục gì không? Fulbright đang theo đuổi chứng nhận từ NECHE - Uỷ Ban Giáo Dục Đại Học Bắc Mỹ, đây là uỷ ban mà các trường như Harvard, Yale, MIT, Brown… được cấp chứng nhận thành viên."
neche,"Lộ trình được cấp Neche như thế nào? Bao giờ thì được? Tháng 2.2023 Neche đã công bố FUV đã đủ điều kiện để được thụ lý hồ sơ cấp chứng nhận Neche. Đây là một bước ngoặt quan trọng vì Neche yêu cầu những điều kiện hết sức khắt khe để được nộp hồ sơ và sau đó xét duyệt. Ví dụ một số điều kiện như: số năm hoạt động, số lượng sinh viên tốt nghiệp... mà FUV cần thực hiện tiếp theo thâm niên để đạt đủ. 
 Cụ thể: một nhóm gồm ba nhà phê bình đã đến thăm Fulbright vào tháng 11 năm ngoái để gặp gỡ ban giám hiệu, giảng viên, nhân viên và sinh viên và để đảm bảo rằng trường đại học tuân thủ các yêu cầu cốt lõi của ủy ban và các tiêu chuẩn toàn diện khác. Mục tiêu đến 2029 Fulbright sẽ đạt chứng nhận đầy đủ."
