key word,description
Thời gian tuyển sinh,"Năm tuyển sinh 2024-2025 có hai kỳ tuyển sinh bao gồm: Kỳ mùa Thu và Kỳ mùa Xuân. Ở Kỳ Tuyển sinh mùa Thu, trong trường hợp chưa trúng tuyển khi nhà trường gửi kết quả, các ứng viên vẫn có cơ hội nộp hồ sơ ứng tuyển lại vào Kỳ mùa Xuân. Điều này giúp ứng viên có thêm thời gian để hoàn thiện bộ hồ sơ và giúp Ban Tuyển sinh hiểu hơn về mình."

Quy trình,"Mỗi kỳ tuyển sinh sẽ gồm vòng đơn và vòng phỏng vấn (không bắt buộc). Nếu Ban Tuyển Sinh cần thêm tìm hiểu thêm thông tin về ứng viên thì sẽ mời ứng viên tham gia thêm vòng phỏng vấn."

Sự khác biệt giữa kỳ Thu và kỳ Xuân,"Số lượng sinh viên mà chúng tôi dự kiến sẽ nhận trong Kỳ tuyển sinh mùa Thu sẽ cao hơn so với Kỳ tuyển sinh mùa Xuân. Khi nộp đơn ở Kỳ tuyển sinh mùa Thu, các bạn sẽ có lợi thế nhận kết quả sớm nếu trúng tuyển. Một số suất học bổng có giá trị cao đến từ nhà tài trợ (như Nguyễn-Phương Family, Nguyễn Tùng Lâm) nếu đã được trao trong kỳ mùa Thu sẽ không thể nộp trong kỳ mùa Xuân. Các ứng viên nộp hồ sơ vào Kỳ tuyển sinh mùa Thu nhưng không được trúng tuyển có thể có cơ hội nộp lại vào Kỳ mùa Xuân."

Chương trình Cầu nối,"Chương trình Cầu nối được thiết kế để hỗ trợ và chuẩn bị cho các sinh viên về kỹ năng ngôn ngữ và giới thiệu môi trường học thuật trước thời điểm nhập học chính thức. Fulbright sẽ giới thiệu một số tân sinh viên tham gia chương trình tăng cường tiếng Anh (miễn phí) trước khi chính thức nhập học nếu nhà trường tin rằng các bạn sẽ được cải thiện các kỹ năng đáng kể sau chương trình này."

Điều kiện dự tuyển,"Nếu bạn đang học lớp 12, dù bạn chưa hoàn thành chương trình trung học và thi tốt nghiệp THPT, bạn vẫn đủ điều kiện để dự tuyển. Ở hồ sơ tuyển sinh, bạn sẽ cung cấp bảng điểm của năm lớp 10 và lớp 11 (hoặc các bạn điểm tương đương ở các chương trình học khác nhau). Nếu bạn trúng tuyển ở Fulbright, bạn cần phải nộp học bạ THPT và chứng nhận tốt nghiệp thì mới có thể nhập học theo đúng quy định của Bộ GD&ĐT. Điểm trung bình năm của học bạ cần phải từ 7.0 trở lên. Ngoài ra, Fulbright cũng yêu cầu các ứng cử viên phải đáp ứng điều kiện tiếng Anh tối thiểu: Trước khi nhập học tại Fulbright, ứng viên cần nộp chứng chỉ tiếng Anh với mức điểm tối thiểu là IELTS 6.0 (hoặc TOEFL iBT 70, hoặc Duolingo English Test 95), hoặc tương đương. (Xem thêm ở phần Điều kiện tiếng anh). Ứng viên cần có ít nhất 1 hoạt động ngoại khóa thể hiện tiềm năng của một trong những phẩm chất mà Fulbright tìm kiếm."

